handle,name,platform,niche,followers,avg_engagement_rate,location,verified,fake_followers_pct
@filaretiki,Filaretiki,youtube,lifestyle,30900000,18.97,,FALSE,0
@lizzza,Liza Koshy,tiktok,lifestyle,30700000,6.93,,TRUE,0
@shawnmendes,Shawn Mendes,youtube,lifestyle,30700000,50,,FALSE,0
@wbkids,WB Kids,youtube,lifestyle,30600000,16.9,,FALSE,0
@disneyjrla,Disney Jr. Latinoamérica,youtube,lifestyle,30500000,36.67,,FALSE,0
@varunbundela,vlogger varun,youtube,lifestyle,30400000,44.49,,FALSE,0
@ladygaga,Lady Gaga,youtube,lifestyle,30400000,50,,FALSE,0
@villagecookingchannel,Village Cooking Channel,youtube,food,30400000,50,,FALSE,0
@wizkhalifa,Wiz Khalifa,youtube,lifestyle,30300000,50,US,FALSE,0
@viralhog,ViralHog,youtube,lifestyle,30200000,2.19,,FALSE,0
@trapnation,Trap Nation,youtube,music,30200000,16.35,,FALSE,0
@taihoa2905,H&T Official,youtube,lifestyle,30200000,26.31,,FALSE,0
@sidhumoosewalaofficial,Sidhu Moose Wala,youtube,music,30100000,5.37,IN,FALSE,0
@ajakitchen,Aja Kitchen,youtube,food,30100000,23.79,,FALSE,0
@penmovies,Pen Movies,youtube,lifestyle,30000000,17.33,,FALSE,0
@jaanvipatel,jaanvi patel,youtube,lifestyle,29900000,45.47,,FALSE,0
@dianaromaen,Diana and Roma EN,youtube,travel,29900000,47.21,,FALSE,0
@chrisbrowntv,Chris Brown,youtube,music,29900000,50,,FALSE,0
@sesamestreet,Sesame Street,youtube,gaming,29800000,26.33,,FALSE,0
@justinbieber,Justin Bieber,tiktok,lifestyle,29700000,8.51,,TRUE,0
@toyorbabytv,toyorbabytv,youtube,lifestyle,29700000,50,,FALSE,0
@anuelaa,Anuel AA,youtube,music,29500000,50,,FALSE,0
@lexibrookerivera,Lexi Rivera,tiktok,lifestyle,29500000,5.14,,TRUE,0
@beastphilanthropy,Beast Philanthropy,youtube,lifestyle,29400000,50,,FALSE,0
@zhcyt,ZHC,youtube,business,29300000,41.29,,FALSE,0
@darianrojasc,Darian.,tiktok,lifestyle,29300000,7.25,,TRUE,0
@dantdm,DanTDM,youtube,business,29200000,18.38,GB,FALSE,0
@dianaromahin,Diana and Roma HIN,youtube,lifestyle,29200000,50,,FALSE,0
@auronplay,AuronPlay,youtube,lifestyle,29100000,36.95,ES,FALSE,0
